"ReceiptNumber","UserId","StatusDateTime","StatusId","ManagerApproval"
"RCT317854","sa","09-May-26 3:46:24 PM","1","1"
"RCT287075","SolankiK","12-Sep-23 6:31:33 PM","1","0"
"RCT287073","SolankiK","12-Sep-23 6:29:12 PM","1","0"
"RCT317855","sa","09-May-26 3:49:46 PM","1","0"
